City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
143,Durango,24.8333,-104.8333,58.24,23,88,11.14,1020,MX,1733951341
144,Northam,51.0333,-4.2167,44.04,76,99,13.09,1033,GB,1733951425
145,Cidreira,-30.1811,-50.2056,70.5,73,3,13.49,1015,BR,1733951426
146,Kailua-Kona,19.6406,-155.9956,82.27,69,20,8.05,1018,US,1733951427
147,Lihue,21.9789,-159.3672,78.39,73,40,19.57,1021,US,1733951428
148,Dryden,49.7833,-92.7503,-3.71,71,100,12.66,1021,CA,1733951429
149,East London,-33.0153,27.9116,71.91,81,90,5.64,1014,ZA,1733951430
150,Prado,-17.3411,-39.2208,78.67,81,97,12.46,1010,BR,1733951431
151,Roshchino,60.2519,29.6085,29.84,73,46,14.47,1015,RU,1733951432
152,Dingli,35.8614,14.3822,57.81,72,75,5.75,1023,MT,1733951433
153,Jamestown,42.097,-79.2353,33.03,96,100,15.01,1005,US,1733951144
154,Hermanus,-34.4187,19.2345,61.81,79,91,8.3,1016,ZA,1733951435
155,Olyokminsk,60.3736,120.4264,3.88,93,99,4.99,1021,RU,1733951436
156,Mariental,-24.6333,17.9667,90.84,20,96,13.15,1009,NA,1733951437
157,Hassi Messaoud,31.6804,6.0729,58.08,35,59,10.0,1017,DZ,1733951439
158,Kangundo,-1.2979,37.3471,58.1,93,100,0.49,1016,KE,1733951440
159,Yanbu,24.0891,38.0637,69.84,52,0,4.61,1014,SA,1733951441
160,Pak Phanang,8.3511,100.202,78.84,80,100,8.32,1005,TH,1733951442
161,Kayangel,8.0823,134.7173,83.82,79,100,18.07,1006,PW,1733951443
162,Nemuro,43.3236,145.575,27.12,56,5,24.65,1007,JP,1733951169
163,Saynshand,44.8824,110.1163,16.12,87,94,7.05,1029,MN,1733951446
164,Punta Arenas,-53.15,-70.9167,62.71,39,0,14.97,1000,CL,1733951447
165,Winkler,49.1817,-97.941,-12.82,87,85,10.56,1029,CA,1733951448
166,Kirkland Lake,48.1446,-80.0377,17.67,93,100,6.8,1004,CA,1733951450
167,Kaoma,-14.7833,24.8,75.16,48,79,6.46,1011,ZM,1733951451
168,Castro,-24.7911,-50.0119,66.81,85,61,8.5,1012,BR,1733951452
169,Afaahiti,-17.75,-149.2833,75.2,85,100,24.65,1010,PF,1733951453
170,Fuyuan,46.4333,127.0833,-13.58,100,99,4.34,1028,CN,1733951455
171,Arraial do Cabo,-22.9661,-42.0278,76.86,73,20,8.05,1014,BR,1733951456
172,Talnakh,69.4865,88.3972,5.94,91,100,19.3,1000,RU,1733951457
173,Gulf Shores,30.246,-87.7008,57.34,41,0,12.66,1024,US,1733951370
174,Kalabo,-14.97,22.6814,81.0,37,80,2.73,1010,ZM,1733951460
175,Uturoa,-16.7333,-151.4333,75.83,87,100,17.52,1010,PF,1733951461
176,Hengchun,22.0042,120.7439,71.44,79,100,20.18,1015,TW,1733951462
177,St. John's,47.5649,-52.7093,41.14,95,100,7.0,1032,CA,1733951235
178,Shaping,22.7545,112.9565,57.33,56,83,10.87,1018,CN,1733951464
179,Gwadar,25.1216,62.3254,65.64,33,0,16.69,1019,PK,1733951465
180,Kumul,42.8,93.45,19.45,75,56,2.08,1045,CN,1733951466
181,Mwinilunga,-11.7358,24.4293,63.81,90,30,3.85,1014,ZM,1733951467
182,Mukalla,14.5425,49.1242,74.03,44,0,3.85,1016,YE,1733951469
183,Bardai,11.65,7.2333,72.34,25,100,9.13,1014,NG,1733951470
184,Port Augusta,-32.5,137.7667,67.78,48,0,7.61,1012,AU,1733951472
185,Aasiaat,68.7098,-52.8699,-3.1,95,52,4.81,1026,GL,1733951404
186,Fale old settlement,-9.3852,-171.2468,81.5,75,85,4.85,1008,TK,1733951474
187,São João do Paraíso,-15.3136,-42.0144,78.84,55,85,2.48,1009,BR,1733951475
188,Broken Hill,-31.95,141.4333,66.34,40,0,14.63,1012,AU,1733951476
189,Abakaliki,6.3163,8.1169,82.42,46,62,6.71,1010,NG,1733951477
190,Prince George,53.9166,-122.753,30.61,100,100,3.44,1017,CA,1733951466
191,Ocher,57.8904,54.7202,26.17,93,99,12.55,998,RU,1733951479
192,Singkil,-7.9855,111.4161,76.5,90,81,1.16,1006,ID,1733951480
193,Wanning,18.8003,110.3967,71.29,90,99,11.36,1013,CN,1733951481
194,Zeya,53.75,127.2667,-2.65,90,81,3.83,1020,RU,1733951483
195,Karkira,36.9292,6.5856,52.88,58,84,3.67,1020,DZ,1733951412
196,Pôsto Fiscal Rolim de Moura,-13.0833,-62.2667,87.49,62,91,2.06,1004,BR,1733951485
197,Cologne,50.9333,6.95,38.05,82,100,2.3,1032,DE,1733951486
198,Saint-Joseph,-21.3667,55.6167,75.58,81,71,12.48,1016,RE,1733951487
199,Usinsk,65.9939,57.5281,3.69,100,99,7.02,985,RU,1733951243
200,Bani Walid,31.7566,13.9942,59.97,48,94,3.62,1021,LY,1733951490
201,Nikel,69.4128,30.222,18.75,92,54,21.77,1004,RU,1733951491
202,Tarawa,1.419,172.984,86.09,74,20,9.22,1008,KI,1733951494
203,Vilhena,-12.7406,-60.1458,81.95,78,100,0.96,1006,BR,1733951346
204,Khandyga,62.6667,135.6,-39.93,100,63,1.25,1022,RU,1733951496
205,Kudahuvadhoo,2.6708,72.8944,81.7,75,16,5.68,1008,MV,1733951497
206,Chonchi,-42.6128,-73.8092,66.11,56,44,0.49,1016,CL,1733951498
207,Drayton Valley,53.2168,-114.9854,23.16,93,98,4.83,1018,CA,1733951499
208,Antalaha,-14.9003,50.2788,74.34,86,7,5.99,1013,MG,1733951336
209,Dompu,-8.5356,118.4622,76.14,94,100,1.54,1007,ID,1733951501
210,Tazovsky,67.4667,78.7,14.05,93,100,13.47,989,RU,1733951502
211,Ulladulla,-35.35,150.4667,68.92,72,1,1.25,1008,AU,1733951503
212,Sona,45.4388,10.8255,36.52,87,0,4.61,1027,IT,1733951505
213,Amstetten,48.1229,14.8721,33.17,87,90,2.15,1031,AT,1733951507
214,Holualoa,19.6228,-155.9522,78.55,68,20,8.05,1018,US,1733951509
215,Quincy,42.2529,-71.0023,64.0,95,100,24.16,1000,US,1733951510
216,Tofol,5.3248,163.0078,83.3,79,100,17.25,1007,FM,1733951511
217,Nouadhibou,20.931,-17.0347,67.98,60,0,18.41,1017,MR,1733951512
218,Glen Innes,-29.7333,151.7333,65.77,72,2,1.86,1011,AU,1733951513
219,Acapulco de Juárez,16.8634,-99.8901,87.62,62,20,6.91,1011,MX,1733951402
220,Khadan Khak,30.7477,67.7085,28.49,57,0,9.35,1025,PK,1733951515
221,Paracuru,-3.41,-39.0306,79.84,80,36,11.99,1009,BR,1733951517
222,Tinajo,29.0788,-13.7081,61.68,77,40,1.14,1019,ES,1733951518
223,Tanout,14.9709,8.8879,73.45,22,100,10.94,1016,NE,1733951519
224,Tahe,52.3333,124.7333,-15.14,97,29,4.38,1027,CN,1733951520
225,Tralee,52.2704,-9.7026,32.95,96,20,4.59,1035,IE,1733951521
226,Sligo,54.2697,-8.4694,39.13,75,100,2.3,1036,IE,1733951409
227,Alofi,-19.0595,-169.9187,84.09,70,75,19.57,1011,NU,1733951523
228,Keflavik,64.0049,-22.5624,43.23,93,75,18.41,1006,IS,1733951524
229,Burao,9.5221,45.5336,62.96,49,3,10.67,1016,SO,1733951526
230,Torghay,49.6339,63.4981,19.54,57,91,16.53,1027,KZ,1733951527
231,Necochea,-38.5473,-58.7368,69.66,62,66,19.71,1010,AR,1733951239
232,Ciudad de Allende,25.2833,-100.0167,61.07,23,2,7.34,1029,MX,1733951529
233,Cromer,52.9312,1.2989,42.8,80,100,5.99,1034,GB,1733951530
234,Nicoya,10.1483,-85.452,83.98,70,28,14.85,1008,CR,1733951531
235,Port Alfred,-33.5906,26.891,69.19,96,91,1.99,1014,ZA,1733951532
236,Vila Franca do Campo,37.7167,-25.4333,59.41,86,62,6.4,1026,PT,1733951533
237,Codrington,-38.2667,141.9667,60.3,83,100,8.84,1010,AU,1733951534
238,Cortez,37.3489,-108.5859,40.69,31,0,0.0,1024,US,1733951535
239,Port Macquarie,-31.4333,152.9167,72.07,81,7,5.01,1009,AU,1733951537
240,Kavaratti,10.5669,72.642,82.87,74,53,8.34,1008,IN,1733951538
241,Susuman,62.7833,148.1667,-25.78,100,99,2.01,1015,RU,1733951539
242,Nuuk,64.1835,-51.7216,18.21,73,20,12.66,1025,GL,1733951540
243,Prokudskoye,55.0089,82.4574,17.47,62,100,20.13,1022,RU,1733951541
244,Svislach,53.6404,27.9199,32.25,93,97,8.34,1021,BY,1733951542
245,Hargeisa,9.56,44.065,57.61,91,13,8.97,1018,SO,1733951543
246,Yuli,9.6989,10.2744,78.17,24,94,6.11,1012,NG,1733951544
247,Sungai Penuh,-2.0833,101.3833,63.75,79,100,3.06,1010,ID,1733951309
248,Wailua Homesteads,22.0669,-159.378,77.79,80,40,19.57,1021,US,1733951546
249,Minas de Marcona,-15.2119,-75.1103,66.56,66,45,15.48,1011,PE,1733951547
250,Dubai,25.2582,55.3047,73.33,49,0,5.75,1018,AE,1733951548
251,Prieska,-29.6641,22.7474,85.66,17,0,17.25,1009,ZA,1733951551
252,Lozovo,41.7839,21.9056,42.4,83,25,4.34,1025,MK,1733951552
253,Khandūd,36.9513,72.318,6.15,95,100,3.18,1039,AF,1733951553
254,The Pas,53.8251,-101.2541,-9.35,91,95,8.7,1030,CA,1733951474
255,Aleg,17.0481,-13.9209,76.1,10,38,10.63,1013,MR,1733951555
256,Lamu,-2.2717,40.902,78.71,87,100,11.1,1011,KE,1733951556
257,Ati,13.2154,18.3353,75.56,11,81,11.01,1013,TD,1733951557
258,Namsos,64.4662,11.4957,33.71,86,75,5.75,1031,NO,1733951558
259,Mount Gambier,-37.8333,140.7667,60.24,78,100,5.57,1010,AU,1733951559
260,Charters Towers,-20.1,146.2667,77.76,83,100,9.35,1005,AU,1733951560
261,Wamba,8.9333,8.6,78.73,24,76,6.02,1011,NG,1733951562
262,Bikenibeu Village,1.3673,173.1241,85.96,74,20,9.22,1008,KI,1733951563
263,Kuopio,62.8924,27.677,28.35,69,0,14.97,1014,FI,1733951564
264,Flying Fish Cove,-10.4217,105.6791,78.48,88,40,9.22,1004,CX,1733951565
265,Oytal,42.9057,73.2697,16.99,68,2,4.25,1036,KZ,1733951566
266,Marsá Maţrūḩ,31.3525,27.2453,63.23,63,100,2.93,1023,EG,1733951567
267,Igarka,67.4667,86.5833,5.83,93,100,21.34,1000,RU,1733951568
268,Maun,-19.9833,23.4167,75.16,60,0,3.44,1009,BW,1733951569
269,Campoverde,-8.4753,-74.8058,89.29,39,65,1.9,1003,PE,1733951570
270,Oranjemund,-28.55,16.4333,63.57,91,94,11.07,1014,NA,1733951573
271,Biloela,-24.4167,150.5,74.95,79,45,6.89,1008,AU,1733951574
272,Callao,-12.0667,-77.15,77.72,73,0,12.66,1011,PE,1733951475
273,Portland,45.5234,-122.6762,47.77,67,0,9.22,1016,US,1733951304
274,Mil’kovo,55.6078,37.7956,27.63,59,100,7.92,1011,RU,1733951577
275,Iskateley,67.6803,53.1512,22.98,92,99,13.73,987,RU,1733951578
276,Kushtagi,15.7667,76.2,66.99,55,100,7.85,1012,IN,1733951579
277,Taltal,-25.4,-70.4833,66.96,70,41,6.73,1012,CL,1733951580
278,Naze,28.3667,129.4833,61.25,82,100,14.05,1018,JP,1733951582
279,Xigazê,29.25,88.8833,24.84,25,6,2.28,1010,CN,1733951583
280,Suntar,62.1444,117.6319,-5.1,98,74,5.14,1019,RU,1733951584
281,Moree,-29.4667,149.85,74.77,71,5,11.3,1009,AU,1733951586
282,Ta`ū,-14.2336,-169.5144,81.86,77,45,14.14,1008,AS,1733951587
283,Jaguaribe,-5.8906,-38.6219,92.35,28,30,5.93,1007,BR,1733951588
284,Bam,29.106,58.357,44.65,48,0,1.79,1025,IR,1733951589
285,Aral,40.5156,81.2636,22.91,77,7,6.62,1043,CN,1733951590
286,Galle,6.0367,80.217,82.92,79,76,8.66,1006,LK,1733951591
287,Chamdo,31.1667,97.2333,21.18,57,1,3.8,1012,CN,1733951592
288,Miðvágur,62.0511,-7.1939,45.43,93,100,11.5,1029,FO,1733951593
289,Inverloch,-38.6333,145.7167,60.35,85,100,14.5,1009,AU,1733951594
290,Dongsheng,39.8161,109.9776,19.94,73,100,13.56,1032,CN,1733951475
291,San Luis de la Loma,17.2706,-100.8939,84.38,67,62,6.31,1011,MX,1733951597
292,Oeiras,-7.0253,-42.1311,86.45,38,98,6.46,1005,BR,1733951598
293,Vostochnyy,55.8167,37.8667,27.84,100,100,7.31,1011,RU,1733951599
294,Puerto Armuelles,8.2833,-82.8667,78.1,83,34,1.01,1008,PA,1733951414
295,Rongelap,11.1635,166.8941,82.11,70,12,20.51,1011,MH,1733951601
296,Xinyuan,37.3,99.0,5.99,77,95,13.02,1029,CN,1733951602
297,Naxos,37.1056,25.3764,60.3,81,81,3.0,1023,GR,1733951476
298,La Paz,-16.5,-68.15,64.38,44,75,9.22,1012,BO,1733951580
299,Pisco,-13.7,-76.2167,73.45,64,0,17.27,1010,PE,1733951606
300,Moab,38.5733,-109.5498,42.49,41,100,3.02,1028,US,1733951607
301,Happy Valley-Goose Bay,53.3168,-60.3315,21.51,93,100,5.75,1023,CA,1733951608
302,Argos,37.6333,22.7333,52.02,75,85,4.85,1024,GR,1733951359
303,Jalai Nur,49.45,117.7,-7.04,92,12,4.79,1030,CN,1733951610
304,Kidal,18.4411,1.4078,77.85,19,98,8.21,1015,ML,1733951611
305,Norwalk,33.9022,-118.0817,74.05,14,0,6.91,1017,US,1733951565
306,Sadah,16.9402,43.7639,50.99,39,0,4.9,1022,YE,1733951613
307,Juan Griego,11.0817,-63.9655,82.08,70,6,10.74,1010,VE,1733951616
308,Gadzhiyevo,69.2551,33.3362,20.59,87,99,24.54,1001,RU,1733951617
309,Calpe,38.6447,0.0445,48.27,94,98,11.86,1019,ES,1733951618
310,Zonguldak,41.25,31.8333,44.49,96,100,1.9,1022,TR,1733951619
311,Meise,50.9393,4.3266,38.52,92,75,4.61,1032,BE,1733951620
